27-inch 4K Monitor,Electronics,16212,19454400000.0000000000
Noise-Cancelling Headphones,Electronics,16133,14519700000.0000000000
Ergonomic Mesh Chair,Furniture,16083,12062250000.0000000000
Standing Desk Converter,Furniture,16419,8209500000.0000000000
Wireless Mechanical Keyboard,Electronics,16841,6399580000.0000000000
USB-C Docking Station,Electronics,16349,5558660000.0000000000
Adjustable Monitor Arm,Furniture,16512,3219840000.0000000000
Webcam 1080p HD,Electronics,17031,3065580000.0000000000
Executive Ballpoint Pen Box,Office Supplies,16153,1130710000.0000000000
A4 Printer Paper (500 Sheets),Office Supplies,16969,432709500.0000000000
